Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
08/27/2013;C13080010859;138;OKIDATA DO BRASIL INFORMÁTICA;25;;Rejeitada
08/27/2013;C13080011235;138;OKIDATA DO BRASIL INFORMÁTICA;15;;Rejeitada
08/27/2013;C13080011316;138;OKIDATA DO BRASIL INFORMÁTICA;15;;Rejeitada
08/27/2013;C13080011405;138;OKIDATA DO BRASIL INFORMÁTICA;15;;Rejeitada
08/27/2013;C13080011588;138;OKIDATA DO BRASIL INFORMÁTICA;20;;Rejeitada
08/27/2013;C13080011669;138;OKIDATA DO BRASIL INFORMÁTICA;15;;Rejeitada
10/09/2013;C13100002449;138;OKIDATA DO BRASIL INFORMÁTICA;15;;Aguardando coleta
10/25/2013;C13100008137;138;OKIDATA DO BRASIL INFORMÁTICA;58;;Aguardando coleta
10/14/2013;C13100003410;138;OKIDATA DO BRASIL INFORMÁTICA;15;;Aguardando coleta
11/14/2013;C13110005238;138;OKIDATA DO BRASIL INFORMÁTICA;12;11/19/2013;Encerrada
05/05/2014;C14050001795;138;OKIDATA DO BRASIL INFORMÁTICA;10;;Em espera de Aprovação
05/05/2014;C14050001876;138;OKIDATA DO BRASIL INFORMÁTICA;11;;Em espera de Aprovação
05/05/2014;C14050001957;138;OKIDATA DO BRASIL INFORMÁTICA;11;;Em espera de Aprovação
05/05/2014;C14050002090;138;OKIDATA DO BRASIL INFORMÁTICA;11;;Em espera de Aprovação
05/05/2014;C14050002171;138;OKIDATA DO BRASIL INFORMÁTICA;13;;Em espera de Aprovação
05/05/2014;C14050002252;138;OKIDATA DO BRASIL INFORMÁTICA;12;;Em espera de Aprovação
05/05/2014;C14050001108;138;OKIDATA DO BRASIL INFORMÁTICA;10;;Em espera de Aprovação
05/05/2014;C14050001280;138;OKIDATA DO BRASIL INFORMÁTICA;11;;Em espera de Aprovação
05/05/2014;C14050001361;138;OKIDATA DO BRASIL INFORMÁTICA;11;;Em espera de Aprovação
05/03/2014;C14050000470;138;OKIDATA DO BRASIL INFORMÁTICA;5;;Em espera de Aprovação
05/03/2014;C14050000551;138;OKIDATA DO BRASIL INFORMÁTICA;6;;Em espera de Aprovação
05/03/2014;C14050000632;138;OKIDATA DO BRASIL INFORMÁTICA;7;;Em espera de Aprovação
05/03/2014;C14050000713;138;OKIDATA DO BRASIL INFORMÁTICA;7;;Em espera de Aprovação
04/16/2014;C14040007529;138;OKIDATA DO BRASIL INFORMÁTICA;5;;Rejeitada
04/16/2014;C14040007600;138;OKIDATA DO BRASIL INFORMÁTICA;5;;Rejeitada
04/11/2014;C14040004775;138;OKIDATA DO BRASIL INFORMÁTICA;15;;Rejeitada
04/11/2014;C14040004856;138;OKIDATA DO BRASIL INFORMÁTICA;16;;Rejeitada
04/02/2014;C14040001083;138;OKIDATA DO BRASIL INFORMÁTICA;50;;Aprovada
03/26/2014;C14030008808;138;OKIDATA DO BRASIL INFORMÁTICA;100;;Cancelada
03/27/2014;C14030009707;138;OKIDATA DO BRASIL INFORMÁTICA;500;;Cancelada
04/04/2014;C14040002055;138;OKIDATA DO BRASIL INFORMÁTICA;5;;Rejeitada
04/04/2014;C14040002306;138;OKIDATA DO BRASIL INFORMÁTICA;15;;Aprovada
04/09/2014;C14040004503;138;OKIDATA DO BRASIL INFORMÁTICA;5;;Rejeitada
03/18/2014;C14030005540;138;OKIDATA DO BRASIL INFORMÁTICA;2750;;Cancelada
03/18/2014;C14030005388;138;OKIDATA DO BRASIL INFORMÁTICA;2540;;Rejeitada
03/18/2014;C14030005035;138;OKIDATA DO BRASIL INFORMÁTICA;22;;Aprovada
03/18/2014;C14030005116;138;OKIDATA DO BRASIL INFORMÁTICA;50;;Rejeitada
03/20/2014;C14030006279;138;OKIDATA DO BRASIL INFORMÁTICA;63;;Aprovada
03/12/2014;C14030003091;138;OKIDATA DO BRASIL INFORMÁTICA;25;;Rejeitada
03/12/2014;C14030003172;138;OKIDATA DO BRASIL INFORMÁTICA;50;;Rejeitada
03/12/2014;C14030003253;138;OKIDATA DO BRASIL INFORMÁTICA;75;;Rejeitada
12/27/2013;C13120007640;138;OKIDATA DO BRASIL INFORMÁTICA;20;12/30/2013;Em trânsito
12/19/2013;C13120006407;138;OKIDATA DO BRASIL INFORMÁTICA;5;;Aguardando coleta
