Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
12/18/2012;C12120005097;157;cprinter informatica e comercio ltda epp;29;12/21/2012;Encerrada
01/04/2013;C13010001133;157;cprinter informatica e comercio ltda epp;62;01/10/2013;Encerrada
01/18/2013;C13010006526;157;cprinter informatica e comercio ltda epp;208;01/24/2013;Encerrada
01/31/2013;C13010009975;157;cprinter informatica e comercio ltda epp;178;02/04/2013;Encerrada
02/19/2013;C13020005590;157;cprinter informatica e comercio ltda epp;113;02/25/2013;Encerrada
02/28/2013;C13020008777;157;cprinter informatica e comercio ltda epp;133;03/04/2013;Encerrada
03/27/2013;C13030009601;157;cprinter informatica e comercio ltda epp;225;03/29/2013;Encerrada
04/11/2013;C13040003940;157;cprinter informatica e comercio ltda epp;99;05/17/2013;Encerrada
04/22/2013;C13040008071;157;cprinter informatica e comercio ltda epp;252;04/29/2013;Encerrada
04/30/2013;C13040010998;157;cprinter informatica e comercio ltda epp;160;05/06/2013;Encerrada
05/15/2013;C13050005091;157;cprinter informatica e comercio ltda epp;151;05/27/2013;Encerrada
06/05/2013;C13060001706;157;cprinter informatica e comercio ltda epp;283;06/11/2013;Encerrada
06/14/2013;C13060004560;157;cprinter informatica e comercio ltda epp;157;06/24/2013;Encerrada
07/08/2013;C13070002985;157;cprinter informatica e comercio ltda epp;348;07/15/2013;Encerrada
07/22/2013;C13070007510;157;cprinter informatica e comercio ltda epp;244;07/23/2013;Encerrada
08/12/2013;C13080004964;157;cprinter informatica e comercio ltda epp;319;08/16/2013;Encerrada
09/19/2013;C13090006005;157;cprinter informatica e comercio ltda epp;81;09/30/2013;Encerrada
11/13/2013;C13110004851;157;cprinter informatica e comercio ltda epp;313;11/18/2013;Encerrada
