Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
03/14/2013;C13030004987;659;Digital World Representações, Comércio e Serviços Ltda;332;03/18/2013;Encerrada
05/06/2013;C13050001509;659;Digital World Representações, Comércio e Serviços Ltda;60;05/13/2013;Encerrada
04/26/2013;C13040010130;659;Digital World Representações, Comércio e Serviços Ltda;50;05/03/2013;Encerrada
04/18/2013;C13040007180;659;Digital World Representações, Comércio e Serviços Ltda;112;04/23/2013;Encerrada
06/25/2013;C13060008395;659;Digital World Representações, Comércio e Serviços Ltda;107;06/28/2013;Encerrada
06/25/2013;C13060008476;659;Digital World Representações, Comércio e Serviços Ltda;19;;Aguardando coleta
06/28/2013;C13060011426;659;Digital World Representações, Comércio e Serviços Ltda;30;07/08/2013;Encerrada
05/29/2013;C13050010680;659;Digital World Representações, Comércio e Serviços Ltda;104;06/03/2013;Encerrada
06/06/2013;C13060002435;659;Digital World Representações, Comércio e Serviços Ltda;23;06/10/2013;Encerrada
10/31/2013;C13100010891;659;Digital World Representações, Comércio e Serviços Ltda;154;11/05/2013;Encerrada
12/04/2013;C13120000980;659;Digital World Representações, Comércio e Serviços Ltda;134;12/06/2013;Encerrada
10/08/2013;C13100001639;659;Digital World Representações, Comércio e Serviços Ltda;70;10/11/2013;Encerrada
09/23/2013;C13090006510;659;Digital World Representações, Comércio e Serviços Ltda;109;09/27/2013;Encerrada
07/29/2013;C13070009807;659;Digital World Representações, Comércio e Serviços Ltda;137;07/31/2013;Encerrada
09/03/2013;C13090001046;659;Digital World Representações, Comércio e Serviços Ltda;81;09/05/2013;Encerrada
08/15/2013;C13080006312;659;Digital World Representações, Comércio e Serviços Ltda;88;08/20/2013;Encerrada
01/13/2014;C14010003100;659;Digital World Representações, Comércio e Serviços Ltda;83;;Aguardando coleta
12/17/2013;C13120005869;659;Digital World Representações, Comércio e Serviços Ltda;108;12/20/2013;Encerrada
01/24/2014;C14010007008;659;Digital World Representações, Comércio e Serviços Ltda;105;02/04/2014;Encerrada
01/31/2014;C14010010149;659;Digital World Representações, Comércio e Serviços Ltda;78;02/04/2014;Encerrada
02/21/2014;C14020009925;659;Digital World Representações, Comércio e Serviços Ltda;137;02/24/2014;Encerrada
05/07/2014;C14050002848;659;Digital World Representações, Comércio e Serviços Ltda;53;;Aprovada
04/15/2014;C14040005909;659;Digital World Representações, Comércio e Serviços Ltda;51;04/16/2014;Encerrada
04/16/2014;C14040007286;659;Digital World Representações, Comércio e Serviços Ltda;124;;Aprovada
04/24/2014;C14040008843;659;Digital World Representações, Comércio e Serviços Ltda;53;;Aprovada
03/13/2014;C14030003415;659;Digital World Representações, Comércio e Serviços Ltda;105;03/13/2014;Encerrada
03/21/2014;C14030006945;659;Digital World Representações, Comércio e Serviços Ltda;124;;Aprovada
03/28/2014;C14030009960;659;Digital World Representações, Comércio e Serviços Ltda;68;03/31/2014;Encerrada
04/04/2014;C14040001830;659;Digital World Representações, Comércio e Serviços Ltda;66;04/07/2014;Encerrada
05/23/2014;C14050009850;659;Digital World Representações, Comércio e Serviços Ltda;66;;Aprovada
