Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
03/12/2014;C14030003091;138;OKI DATA DO BRASIL INFORMATICA LTDA;25;;Rejeitada
03/12/2014;C14030003172;138;OKI DATA DO BRASIL INFORMATICA LTDA;50;;Rejeitada
03/12/2014;C14030003253;138;OKI DATA DO BRASIL INFORMATICA LTDA;75;;Rejeitada
03/18/2014;C14030005035;138;OKI DATA DO BRASIL INFORMATICA LTDA;22;;Aprovada
03/18/2014;C14030005116;138;OKI DATA DO BRASIL INFORMATICA LTDA;50;;Rejeitada
03/18/2014;C14030005388;138;OKI DATA DO BRASIL INFORMATICA LTDA;2540;;Rejeitada
03/18/2014;C14030005540;138;OKI DATA DO BRASIL INFORMATICA LTDA;2750;;Cancelada
03/20/2014;C14030006279;138;OKI DATA DO BRASIL INFORMATICA LTDA;63;;Aprovada
03/26/2014;C14030008808;138;OKI DATA DO BRASIL INFORMATICA LTDA;100;;Cancelada
03/27/2014;C14030009707;138;OKI DATA DO BRASIL INFORMATICA LTDA;500;;Cancelada
04/02/2014;C14040001083;138;OKI DATA DO BRASIL INFORMATICA LTDA;50;;Aprovada
04/04/2014;C14040002055;138;OKI DATA DO BRASIL INFORMATICA LTDA;5;;Rejeitada
04/04/2014;C14040002306;138;OKI DATA DO BRASIL INFORMATICA LTDA;15;04/09/2014;Encerrada
04/09/2014;C14040004503;138;OKI DATA DO BRASIL INFORMATICA LTDA;5;;Rejeitada
04/11/2014;C14040004775;138;OKI DATA DO BRASIL INFORMATICA LTDA;15;;Rejeitada
04/11/2014;C14040004856;138;OKI DATA DO BRASIL INFORMATICA LTDA;16;;Rejeitada
04/16/2014;C14040007529;138;OKI DATA DO BRASIL INFORMATICA LTDA;5;;Rejeitada
04/16/2014;C14040007600;138;OKI DATA DO BRASIL INFORMATICA LTDA;5;;Rejeitada
05/03/2014;C14050000470;138;OKI DATA DO BRASIL INFORMATICA LTDA;5;;Rejeitada
05/03/2014;C14050000551;138;OKI DATA DO BRASIL INFORMATICA LTDA;6;;Rejeitada
05/03/2014;C14050000632;138;OKI DATA DO BRASIL INFORMATICA LTDA;7;;Rejeitada
05/03/2014;C14050000713;138;OKI DATA DO BRASIL INFORMATICA LTDA;7;;Rejeitada
05/05/2014;C14050001108;138;OKI DATA DO BRASIL INFORMATICA LTDA;10;;Rejeitada
05/05/2014;C14050001280;138;OKI DATA DO BRASIL INFORMATICA LTDA;11;;Rejeitada
05/05/2014;C14050001361;138;OKI DATA DO BRASIL INFORMATICA LTDA;11;;Rejeitada
05/05/2014;C14050001795;138;OKI DATA DO BRASIL INFORMATICA LTDA;10;;Rejeitada
05/05/2014;C14050001876;138;OKI DATA DO BRASIL INFORMATICA LTDA;11;;Rejeitada
05/05/2014;C14050001957;138;OKI DATA DO BRASIL INFORMATICA LTDA;11;;Rejeitada
05/05/2014;C14050002090;138;OKI DATA DO BRASIL INFORMATICA LTDA;11;;Rejeitada
05/05/2014;C14050002171;138;OKI DATA DO BRASIL INFORMATICA LTDA;13;;Rejeitada
05/05/2014;C14050002252;138;OKI DATA DO BRASIL INFORMATICA LTDA;12;;Rejeitada
05/15/2014;C14050005278;138;OKI DATA DO BRASIL INFORMATICA LTDA;27;;Rejeitada
05/15/2014;C14050005359;138;OKI DATA DO BRASIL INFORMATICA LTDA;27;;Aprovada
05/15/2014;C14050005430;138;OKI DATA DO BRASIL INFORMATICA LTDA;20;;Rejeitada
05/15/2014;C14050005510;138;OKI DATA DO BRASIL INFORMATICA LTDA;20;;Rejeitada
05/16/2014;C14050006240;138;OKI DATA DO BRASIL INFORMATICA LTDA;20;;Rejeitada
05/16/2014;C14050006916;138;OKI DATA DO BRASIL INFORMATICA LTDA;25;;Rejeitada
05/18/2014;C14050007050;138;OKI DATA DO BRASIL INFORMATICA LTDA;5;;Rejeitada
05/19/2014;C14050007130;138;OKI DATA DO BRASIL INFORMATICA LTDA;20;;Rejeitada
05/19/2014;C14050007483;138;OKI DATA DO BRASIL INFORMATICA LTDA;560;;Rejeitada
05/25/2014;C14050011081;138;OKI DATA DO BRASIL INFORMATICA LTDA;5;;Rejeitada
05/25/2014;C14050011162;138;OKI DATA DO BRASIL INFORMATICA LTDA;6;05/25/2014;Em trânsito
05/26/2014;C14050011405;138;OKI DATA DO BRASIL INFORMATICA LTDA;26;05/27/2014;Encerrada
05/29/2014;C14050013106;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
05/29/2014;C14050013297;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
05/29/2014;C14050013378;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
05/29/2014;C14050013459;138;OKI DATA DO BRASIL INFORMATICA LTDA;222;;Rejeitada
06/02/2014;C14060000163;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060000244;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060000406;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060000597;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060000678;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060000759;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060000830;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060000910;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060001054;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060001135;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060001216;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060001305;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060001488;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060001569;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060001640;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060001720;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060001801;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060001992;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060002107;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060002298;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060002379;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060002450;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/02/2014;C14060002530;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/04/2014;C14060003855;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Aprovada
06/08/2014;C14060005718;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
06/24/2014;C14060008652;138;OKI DATA DO BRASIL INFORMATICA LTDA;555;;Rejeitada
06/24/2014;C14060008733;138;OKI DATA DO BRASIL INFORMATICA LTDA;555;;Rejeitada
06/25/2014;C14060008903;138;OKI DATA DO BRASIL INFORMATICA LTDA;111;;Aprovada
07/01/2014;C14070000360;138;OKI DATA DO BRASIL INFORMATICA LTDA;5;;Aprovada
07/01/2014;C14070000441;138;OKI DATA DO BRASIL INFORMATICA LTDA;11;;Aprovada
07/11/2014;C14070004781;138;OKI DATA DO BRASIL INFORMATICA LTDA;111;;Aprovada
07/31/2014;C14070015554;138;OKI DATA DO BRASIL INFORMATICA LTDA;11;08/03/2014;Encerrada
08/25/2014;C14080008119;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
09/08/2014;C14090002709;138;OKI DATA DO BRASIL INFORMATICA LTDA;33;;Aprovada
09/16/2014;C14090006453;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
09/30/2014;C14090011023;138;OKI DATA DO BRASIL INFORMATICA LTDA;71;;Rejeitada
10/14/2014;C14100007180;138;OKI DATA DO BRASIL INFORMATICA LTDA;25;;Aprovada
10/15/2014;C14100008070;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
10/15/2014;C14100008585;138;OKI DATA DO BRASIL INFORMATICA LTDA;1;;Rejeitada
