C12040004655;04102012;43324401;20
C12040004655;04102012;43324402;25
C12040004655;04102012;43324403;25
C12040004655;04102012;43324404;28
C12040004655;04102012;43381701;85
C12040004655;04102012;43381702;85
C12040004655;04102012;43381703;83
C12040004655;04102012;43381704;120
C12040004655;04102012;42918981;25
C12040004655;04102012;42918982;30
C12040004655;04102012;42918983;25
C12040004655;04102012;42918984;20
C12040004655;04102012;42918101;12
C12040004655;04102012;42918102;10
C12040004655;04102012;42918103;15
C12040004655;04102012;42918104;18
C12040004655;04102012;43363201;20
C12040004655;04102012;43363401;20
