C17090000123;15092017;42918101;28
C17090000123;15092017;42918102;28
C17090000123;15092017;42918103;29
C17090000123;15092017;42918104;26
C17090000123;15092017;45396212;18
C17090000123;15092017;42931701;12
C17090000123;15092017;42869401;32
C17090000123;15092017;42931602;16
C17090000123;15092017;45395710;12
C17090000123;15092017;45395711;20
C17090000123;15092017;45395712;10
C17090000123;15092017;42918904;29
C17090000123;15092017;42918981;27
C17090000123;15092017;42918982;33
C17090000123;15092017;42918983;35
C17090000123;15092017;45396209;39
C17090000123;15092017;45396210;37
C17090000123;15092017;45396211;43
